ETH,SOL,Amount of Nafflings
0x068d98b3F140B5918e82002d9e65A15C10CC5448,9zU6sPR1ZLPDMHwtqYxMT6fikB5Shrfuzb3uhxs41RN2,500
0x096918C52454Fce2d6d139685A88a861091DB6f2,G93UqYrbknpNV694RgNMuELDyc8MarWeTzL7aepPeDk6,500
0x0AdB98D9E52D0fc846d5C8C574EbAb8C2eaF74B6,6eFr9XMmBAvbjMaiF43V7KabLS3NgnaW6vuHhqCpX4aY,2000
0x0C6117805636dFb4568Cc4b303F9364B910ad4C4,8PCrDsq1JxaXW9UxbG7BAfd1TR7828i1TbTAAWBAni3K,500
0x0c7682A3afa89Dc8cE23c350767103a07Df86874,CekFj8XvJiMcK4Eo9gcxaTvmNNi8KvkKk2wZPHFZrvs8,500
0x0CF3ab65e8703B0fa8B7A6d479157c10B752475E,9ifGvWZznR9oGmGEJnmHVYUu2ZruCEwMHaUoGKTn1ao1,500
0x11b85d48A2475D86F6d692381e1EE4ed1070cE8a,312FNm5CzYVwTWZWw4Nny5bxkuDEtr4u3WjtkVY8j8Gh,2000
0x1391F87c31aA96f9Dc3F8dff83cCAfff4D37Db03,0x1391F87c31aA96f9Dc3F8dff83cCAfff4D37Db03,500
0x147A6A73bAe20EBf86076892bCf11916fAa70fd1,j9BF6ehDgqhb6m5jKVJJLrQYXkmXPJfXN18C46TgXr4,500
0x15d09D743DB688dE8999f31984874586b2C97C83,9gCQZxeAptk8N8ADb9afw5GVkJfEmKj5wDevmuLxpWNN,8000
0x16D82705f9bF5B9cC09Fc1445d0269AFd91b073e,FEtUtQVhcrwkfE9FBseMVpWpGo54Es7wM1txshBuVpHZ,500
0x18A428CE0c31584a21CF8ceFDb8849d8013E1994,FmnakpQmYhjkp5zoEQnewH8iq9GUiRwZQVmQqxpzPq8Q,2000
0x1Bfe6f21BD35bdEC399FB216E0e72A7fe7663Bff,HHGuPNcVBXNrJrNCpfk7goYYjtcXRMk5WhgTnWUSWHiJ,500
